source,target,value
CORIELL,HPOA,1
CORIELL,HPOA,1
CORIELL,HPOA,1
CORIELL,HPOA,1
CORIELL,HPOA,1
CORIELL,HPOA,1
CORIELL,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
CTD,HPOA,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
OMIA,MONARCH,1
